鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中正區,房地(土地+建物)+車位,基隆市中正區新豐街４６０之７號九樓,9.51,住,,,1131227,土地3建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,77.41,1,1,1,有,有,5600000,72342,坡道平面,34.16,0,,RPTNMLKKJHKGFDC47DA,28.92,0.0,3.57,有,30
七堵區,房地(土地+建物),基隆市七堵區百五街６７之３號,22.77,商,,,1131208,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691231,100.91,3,2,2,有,無,7300000,72342,,0.0,0,,RPUNMLLLKHKGFDC87DA,96.14,0.0,4.77,無,31
七堵區,土地,溪頭段502地號,4.68,都市：其他:道路用地,,,1131227,土地10建物0車位0,,,其他,,,,0.0,0,0,0,無,無,84900,18141,,0.0,0,,RPPNMLTKKHKGFDC18EA,0.0,0.0,0.0,無,15
暖暖區,房地(土地+建物),基隆市暖暖區金華街２６７號８樓之５,24.11,住,,,1131216,土地1建物2車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850105,103.81,2,2,2,有,有,3000000,28899,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLKHKGFDC77EA,48.59,0.0,8.23,有,33
七堵區,房地(土地+建物),基隆市七堵區百七街２７號５樓,49.14,住,,,1131220,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841228,111.66,3,2,2,有,無,6200000,55526,,0.0,0,前陽台增建其他增建；,RPPOMLOLKHKGFDC77DA,96.58,0.0,11.62,無,
安樂區,房地(土地+建物),基隆市安樂區麥金路５２４號,31.02,住,,,1131127,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670809,61.41,3,2,1,有,無,7680000,125061,,0.0,0,其他增建；,RPOOMLPJKHKGFDC57DA,61.41,0.0,0.0,無,34
中正區,房地(土地+建物)+車位,基隆市中正區和豐街２２５號四樓,41.71,住,,,1131122,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130716,210.68,4,2,2,有,有,15500000,73571,坡道平面,32.08,0,,RPRNMLPJKHKGFDC77DA,101.03,1.9,14.35,有,
信義區,房地(土地+建物)+車位,基隆市信義區東光路２０５巷１６弄１２號３樓,25.66,都市：其他:住宅區,,,1131125,土地6建物1車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841116,109.63999999999999,2,1,1,有,有,5450000,49708,坡道平面,0.0,0,,RPQNMLKLKHKGFDC37DA,63.17,0.0,6.46,無,
信義區,房地(土地+建物),基隆市信義區花源三街５０號３樓,42.36,住,,,1131103,土地2建物1車位0,四層，五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781229,148.01,4,2,2,有,無,5760000,38916,,0.0,0,,RPQNMLLLKHKGFDC47DA,111.02,4.02,11.18,無,
中山區,房地(土地+建物)+車位,基隆市中山區德安路１１６巷３３號,149.02,都市：其他:住宅區(住一),,,1131125,土地10建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0951031,279.39,4,2,3,有,有,17500000,62636,坡道平面,0.0,0,頂樓加蓋；,RPQNMLSLKIJGFDC18DA,176.79,0.0,13.75,無,35
安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷６弄５０號５樓,31.81,住,,,1131105,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860902,136.02,3,2,2,有,無,4600000,33819,,0.0,0,頂樓加蓋；,RPUNMLLMKIJGFDC97DA,106.86,1.27,9.87,無,36
中正區,房地(土地+建物)+車位,基隆市中正區中正路４１０號９樓,50.68,住,,,1131122,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130827,228.39,4,2,2,有,有,25850000,125496,坡道平面,36.75,1800000,,RPSNMLLLKHKGFDC67DA,109.43,8.0,12.35,有,
中正區,房地(土地+建物)+車位,基隆市中正區中正路４１０號７樓,50.68,住,,,1131121,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130827,228.39,4,2,2,有,有,24600000,118973,坡道平面,36.75,1800000,,RPTNMLLLKHKGFDC77DA,109.43,8.0,12.35,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區工東街２４號８樓之２,18.24,住,,,1131126,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841227,137.71,3,2,2,有,有,8800000,63902,坡道平面,35.98,0,,RPVNMLQKJHKGFDC28DA,75.73,0.98,9.72,有,
信義區,房地(土地+建物)+車位,基隆市信義區深澳坑路１６８巷４２號２樓,54.3,住,,,1131025,土地2建物2車位3,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840610,267.26,0,0,0,無,有,4250000,15902,坡道平面,0.0,0,,RPUNMLKKKIJGFDC67DA,117.83,0.0,13.71,無,
中山區,房地(土地+建物)+車位,基隆市中山區通仁街１７８號五樓之１,75.34,住,,,1131010,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130905,174.3,3,2,2,有,有,13380000,85853,坡道平面,32.43,1200000,本交易含土地款487萬元.建物款731萬元.車位款120萬元。,RPRNMLOJJHKGFDC57DA,87.57,0.0,9.42,有,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街１２７號７樓,33.9,住,,,1131022,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,188.69,4,2,2,有,有,12880000,68260,坡道平面,32.04,0,車編B2-089,RPUNMLMLJHKGFDC87DA,104.07,0.0,10.63,有,37
安樂區,房地(土地+建物),基隆市安樂區樂利二街６２巷４１７號,86.85,住,,,1131017,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0970708,264.61,4,2,3,有,有,15000000,56687,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLNLJHKGFDC87DA,218.68,0.0,7.08,無,
中山區,房地(土地+建物),基隆市中山區復興路２１２巷８弄９之４號,26.68,住,,,1131026,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711013,104.43,3,2,2,有,無,4150000,39740,,0.0,0,,RPXNMLKLKHKGFDC08DA,85.06,0.0,11.19,無,38
